OverallQual,Neighborhood_encoded,GrLivArea,YearBuilt,TotalBsmtSF,GarageArea,GarageCars,1stFlrSF,MSSubClass_encoded,ExterQual_TA,GarageYrBlt,FullBath,YearRemodAdd,KitchenQual_TA,TotRmsAbvGrd,ExterQual_Gd,2ndFlrSF,Foundation_PConc,KitchenQual_Gd,BsmtQual_TA,FireplaceQu_None,Fireplaces,BsmtQual_Gd,Exterior2nd_encoded,LotArea,BsmtFinSF1,GarageFinish_Unf,OpenPorchSF,Exterior1st_encoded,HeatingQC_Ex,GarageType_Attchd,BsmtUnfSF,OverallCond,GarageFinish_Fin,BsmtQual_Ex,GarageType_Detchd,HeatingQC_TA,BsmtFinType1_GLQ,WoodDeckSF,KitchenQual_Ex,Foundation_CBlock,MSZoning_RM,FireplaceQu_Gd,HalfBath,MasVnrArea,GarageFinish_RFn,LotShape_Reg,MasVnrType_None,SaleCondition_Partial,SaleType_New
7,197943.08974006787,1710,2003,856,548,2,856,239909.0510660367,0.0,2003.0,2,2003,0.0,8,1.0,854,1.0,1.0,0.0,1.0,0,1.0,214512.41271653058,8450,706,0.0,61,213810.05460707544,1.0,1.0,150,5,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1,196.0,1.0,1.0,0.0,0.0,0.0
6,237739.82847840988,1262,1976,1262,460,2,1262,185223.20977053,1.0,1976.0,2,1976,1.0,6,0.0,0,0.0,0.0,0.0,0.0,1,1.0,149832.2365964435,9600,978,0.0,0,149450.79509063665,1.0,1.0,284,8,0.0,0.0,0.0,0.0,0.0,298,0.0,1.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
7,197943.08974006787,1786,2001,920,608,2,920,239909.0510660367,0.0,2001.0,2,2002,0.0,6,1.0,866,1.0,1.0,0.0,0.0,1,1.0,214512.41271653058,11250,486,0.0,42,213810.05460707544,1.0,1.0,434,5,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1,162.0,1.0,0.0,0.0,0.0,0.0
7,210508.73201090217,1717,1915,756,642,3,961,166819.45313884038,1.0,1998.0,1,1970,0.0,7,0.0,756,0.0,1.0,1.0,0.0,1,0.0,161431.5727475966,9550,216,1.0,35,149871.79960697473,0.0,0.0,540,5,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0
8,334545.9727902473,2198,2000,1145,836,3,1145,239909.0510660367,0.0,2000.0,2,2000,0.0,9,1.0,1053,1.0,1.0,0.0,0.0,1,1.0,214512.41271653058,14260,655,0.0,84,213810.05460707544,1.0,1.0,490,5,0.0,0.0,0.0,0.0,1.0,192,0.0,0.0,0.0,0.0,1,350.0,1.0,0.0,0.0,0.0,0.0
5,156370.3674584998,1362,1993,796,480,2,796,143355.16004825375,1.0,1993.0,1,1995,1.0,5,0.0,566,0.0,0.0,0.0,1.0,0,1.0,214512.41271653058,14115,732,1.0,30,213810.05460707544,1.0,1.0,64,5,0.0,0.0,0.0,0.0,1.0,40,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0
8,225276.7062524152,1694,2004,1686,636,2,1694,185223.20977053,0.0,2004.0,2,2005,0.0,7,1.0,0,1.0,1.0,0.0,0.0,1,0.0,214512.41271653058,10084,1369,0.0,57,213810.05460707544,1.0,1.0,317,5,0.0,1.0,0.0,0.0,1.0,255,0.0,0.0,0.0,1.0,0,186.0,1.0,1.0,0.0,0.0,0.0
7,189027.88359232503,2090,1973,1107,484,2,1107,239909.0510660367,1.0,1973.0,2,1973,1.0,7,0.0,983,0.0,0.0,0.0,0.0,2,1.0,167674.37296794492,10382,859,0.0,204,163093.5197072826,1.0,1.0,216,6,0.0,0.0,0.0,0.0,0.0,235,0.0,1.0,0.0,0.0,1,240.0,1.0,0.0,0.0,0.0,0.0
7,128318.41942542572,1774,1931,952,468,2,1022,143355.16004825375,1.0,1931.0,2,1950,1.0,8,0.0,752,0.0,0.0,1.0,0.0,2,0.0,161431.5727475966,6120,0,1.0,0,194518.646991199,0.0,0.0,952,5,0.0,0.0,1.0,0.0,0.0,90,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
5,125026.82266251187,1077,1939,991,205,1,1077,129953.18142245663,1.0,1939.0,1,1950,1.0,5,0.0,0,0.0,0.0,1.0,0.0,2,0.0,149832.2365964435,7420,851,0.0,4,149450.79509063665,1.0,1.0,140,6,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
