OverallQual,Neighborhood_encoded,GrLivArea,TotalBsmtSF,GarageArea,YearBuilt,GarageCars,1stFlrSF,MSSubClass_encoded,FullBath,GarageYrBlt,ExterQual_TA,YearRemodAdd,KitchenQual_TA,ExterQual_Gd,TotRmsAbvGrd,2ndFlrSF,KitchenQual_Gd,Exterior2nd_encoded,Foundation_PConc,FireplaceQu_None,Fireplaces,BsmtQual_TA,LotArea,BsmtFinSF1,BsmtQual_Gd,GarageFinish_Unf,OpenPorchSF,Exterior1st_encoded,HeatingQC_Ex,BsmtQual_Ex,BsmtUnfSF,GarageType_Attchd,GarageType_Detchd,GarageFinish_Fin,OverallCond,Foundation_CBlock,WoodDeckSF,GarageFinish_RFn,BsmtFinType1_GLQ,KitchenQual_Ex,MSZoning_RM,MasVnrArea,HalfBath,HeatingQC_TA,LotShape_Reg,CentralAir_Y,MasVnrType_None,SaleType_New,SaleCondition_Partial
7,197943.08974006787,1710,856,548,2003,2,856,239909.0510660367,2,2003.0,0.0,2003,0.0,1.0,8,854,1.0,214512.41271653058,1.0,1.0,0,0.0,8450,706,1.0,0.0,61,213810.05460707544,1.0,0.0,150,1.0,0.0,0.0,5,0.0,0,1.0,1.0,0.0,0.0,196.0,1,0.0,1.0,1.0,0.0,0.0,0.0
6,237739.82847840988,1262,1262,460,1976,2,1262,185223.20977053,2,1976.0,1.0,1976,1.0,0.0,6,0,0.0,149832.2365964435,0.0,0.0,1,0.0,9600,978,1.0,0.0,0,149450.79509063665,1.0,0.0,284,1.0,0.0,0.0,8,1.0,298,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
7,197943.08974006787,1786,920,608,2001,2,920,239909.0510660367,2,2001.0,0.0,2002,0.0,1.0,6,866,1.0,214512.41271653058,1.0,0.0,1,0.0,11250,486,1.0,0.0,42,213810.05460707544,1.0,0.0,434,1.0,0.0,0.0,5,0.0,0,1.0,1.0,0.0,0.0,162.0,1,0.0,0.0,1.0,0.0,0.0,0.0
7,210508.73201090217,1717,756,642,1915,3,961,166819.45313884038,1,1998.0,1.0,1970,0.0,0.0,7,756,1.0,161431.5727475966,0.0,0.0,1,1.0,9550,216,0.0,1.0,35,149871.79960697473,0.0,0.0,540,0.0,1.0,0.0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0
8,334545.9727902473,2198,1145,836,2000,3,1145,239909.0510660367,2,2000.0,0.0,2000,0.0,1.0,9,1053,1.0,214512.41271653058,1.0,0.0,1,0.0,14260,655,1.0,0.0,84,213810.05460707544,1.0,0.0,490,1.0,0.0,0.0,5,0.0,192,1.0,1.0,0.0,0.0,350.0,1,0.0,0.0,1.0,0.0,0.0,0.0
5,156370.3674584998,1362,796,480,1993,2,796,143355.16004825375,1,1993.0,1.0,1995,1.0,0.0,5,566,0.0,214512.41271653058,0.0,1.0,0,0.0,14115,732,1.0,1.0,30,213810.05460707544,1.0,0.0,64,1.0,0.0,0.0,5,0.0,40,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0
8,225276.7062524152,1694,1686,636,2004,2,1694,185223.20977053,2,2004.0,0.0,2005,0.0,1.0,7,0,1.0,214512.41271653058,1.0,0.0,1,0.0,10084,1369,0.0,0.0,57,213810.05460707544,1.0,1.0,317,1.0,0.0,0.0,5,0.0,255,1.0,1.0,0.0,0.0,186.0,0,0.0,1.0,1.0,0.0,0.0,0.0
7,189027.88359232503,2090,1107,484,1973,2,1107,239909.0510660367,2,1973.0,1.0,1973,1.0,0.0,7,983,0.0,167674.37296794492,0.0,0.0,2,0.0,10382,859,1.0,0.0,204,163093.5197072826,1.0,0.0,216,1.0,0.0,0.0,6,1.0,235,1.0,0.0,0.0,0.0,240.0,1,0.0,0.0,1.0,0.0,0.0,0.0
7,128318.41942542572,1774,952,468,1931,2,1022,143355.16004825375,2,1931.0,1.0,1950,1.0,0.0,8,752,0.0,161431.5727475966,0.0,0.0,2,1.0,6120,0,0.0,1.0,0,194518.646991199,0.0,0.0,952,0.0,1.0,0.0,5,0.0,90,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
5,125026.82266251187,1077,991,205,1939,1,1077,129953.18142245663,1,1939.0,1.0,1950,1.0,0.0,5,0,0.0,149832.2365964435,0.0,0.0,2,1.0,7420,851,0.0,0.0,4,149450.79509063665,1.0,0.0,140,1.0,0.0,0.0,6,0.0,0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
5,136912.1034900026,1040,1040,384,1965,1,1040,185223.20977053,1,1965.0,1.0,1965,1.0,0.0,5,0,0.0,167674.37296794492,0.0,1.0,0,1.0,11200,906,0.0,1.0,0,163093.5197072826,1.0,0.0,134,0.0,1.0,0.0,5,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
9,315920.0010227745,2324,1175,736,2005,3,1182,239909.0510660367,3,2005.0,0.0,2006,0.0,0.0,11,1142,0.0,161431.5727475966,1.0,0.0,2,0.0,11924,998,0.0,0.0,21,150886.18621977826,1.0,1.0,177,0.0,0.0,1.0,5,0.0,147,0.0,1.0,1.0,0.0,286.0,0,0.0,0.0,1.0,0.0,1.0,1.0
5,136912.1034900026,912,912,352,1962,1,912,185223.20977053,1,1962.0,1.0,1962,1.0,0.0,4,0,0.0,168130.415463841,0.0,1.0,0,1.0,12968,737,0.0,1.0,0,163093.5197072826,0.0,0.0,175,0.0,1.0,0.0,6,1.0,140,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,0.0
7,197943.08974006787,1494,1494,840,2006,3,1494,185223.20977053,2,2006.0,0.0,2007,0.0,1.0,7,0,1.0,214512.41271653058,1.0,0.0,1,0.0,10652,0,1.0,0.0,33,213810.05460707544,1.0,0.0,1494,1.0,0.0,0.0,5,0.0,160,1.0,0.0,0.0,0.0,306.0,0,0.0,0.0,1.0,0.0,1.0,1.0
6,145878.23747317135,1253,1253,352,1960,1,1253,185223.20977053,1,1960.0,1.0,1960,1.0,0.0,5,0,0.0,149832.2365964435,0.0,0.0,1,1.0,10920,733,0.0,0.0,213,149450.79509063665,0.0,0.0,520,1.0,0.0,0.0,5,1.0,0,1.0,0.0,0.0,0.0,212.0,1,1.0,0.0,1.0,0.0,0.0,0.0
7,125026.82266251187,854,832,576,1929,2,854,109777.54745558939,1,1991.0,1.0,2001,1.0,0.0,5,0,0.0,148419.07240851008,0.0,1.0,0,1.0,6120,0,0.0,1.0,112,149871.79960697473,1.0,0.0,832,0.0,1.0,0.0,8,0.0,48,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0
6,145878.23747317135,1004,1004,480,1970,2,1004,185223.20977053,1,1970.0,1.0,1970,1.0,0.0,5,0,0.0,148419.07240851008,0.0,0.0,1,1.0,11241,578,0.0,0.0,0,149871.79960697473,1.0,0.0,426,1.0,0.0,1.0,7,1.0,0,0.0,0.0,0.0,0.0,180.0,0,0.0,0.0,1.0,0.0,0.0,0.0
4,136912.1034900026,1296,0,516,1967,2,1296,133722.64519076995,2,1967.0,1.0,1967,1.0,0.0,6,0,0.0,149832.2365964435,0.0,1.0,0,0.0,10791,0,0.0,1.0,0,149450.79509063665,0.0,0.0,0,0.0,0.0,0.0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,0.0,0.0
5,186536.79187429376,1114,1114,576,2004,2,1114,185223.20977053,1,2004.0,1.0,2004,0.0,0.0,6,0,1.0,214512.41271653058,1.0,1.0,0,1.0,13695,646,0.0,1.0,102,213810.05460707544,1.0,0.0,468,0.0,1.0,0.0,5,0.0,0,0.0,1.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0
