OverallQual,Neighborhood_encoded,GrLivArea,YearBuilt,TotalBsmtSF,GarageArea,GarageCars,1stFlrSF,MSSubClass_encoded,ExterQual_TA,GarageYrBlt,FullBath,YearRemodAdd,KitchenQual_TA,TotRmsAbvGrd,ExterQual_Gd,2ndFlrSF,Foundation_PConc,KitchenQual_Gd,BsmtQual_TA,FireplaceQu_None,Fireplaces,LotArea,Exterior2nd_encoded,BsmtQual_Gd,BsmtFinSF1,GarageFinish_Unf,OpenPorchSF,Exterior1st_encoded,GarageType_Attchd,HeatingQC_Ex,BsmtUnfSF,BsmtQual_Ex,OverallCond,BsmtFinType1_GLQ,GarageFinish_Fin,GarageType_Detchd,WoodDeckSF,Foundation_CBlock,HeatingQC_TA,LotShape_Reg,KitchenQual_Ex,GarageFinish_RFn,MSZoning_RM,HalfBath,MasVnrArea,SaleType_New,MasVnrType_None,SaleCondition_Partial,FireplaceQu_Gd
7,197852.95625689375,1710,2003,856,548,2,856,239751.77464930317,0.0,2003.0,2,2003,0.0,8,1.0,854,1.0,1.0,0.0,1.0,0,8450,214459.1079261725,1.0,706,0.0,61,213758.9794073611,1.0,1.0,150,0.0,5,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1,196.0,0.0,0.0,0.0,0.0
6,233952.53289924603,1262,1976,1262,460,2,1262,185216.8145154394,1.0,1976.0,2,1976,1.0,6,0.0,0,0.0,0.0,0.0,0.0,1,9600,149947.9506734463,1.0,978,0.0,0,149564.74839271925,1.0,1.0,284,0.0,8,0.0,0.0,0.0,298,1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
7,197852.95625689375,1786,2001,920,608,2,920,239751.77464930317,0.0,2001.0,2,2002,0.0,6,1.0,866,1.0,1.0,0.0,0.0,1,11250,214459.1079261725,1.0,486,0.0,42,213758.9794073611,1.0,1.0,434,0.0,5,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1,162.0,0.0,0.0,0.0,0.0
7,210053.6806690568,1717,1915,756,642,3,961,167004.51466870413,1.0,1998.0,1,1970,0.0,7,0.0,756,0.0,1.0,1.0,0.0,1,9550,161831.5485843834,0.0,216,1.0,35,149991.83282507706,0.0,0.0,540,0.0,5,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0
8,331619.9617807369,2198,2000,1145,836,3,1145,239751.77464930317,0.0,2000.0,2,2000,0.0,9,1.0,1053,1.0,1.0,0.0,0.0,1,14260,214459.1079261725,1.0,655,0.0,84,213758.9794073611,1.0,1.0,490,0.0,5,1.0,0.0,0.0,192,0.0,0.0,0.0,0.0,1.0,0.0,1,350.0,0.0,0.0,0.0,0.0
5,156763.32789581906,1362,1993,796,480,2,796,143562.47168821347,1.0,1993.0,1,1995,1.0,5,0.0,566,0.0,0.0,0.0,1.0,0,14115,214459.1079261725,1.0,732,1.0,30,213758.9794073611,1.0,1.0,64,0.0,5,1.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0
8,224868.92407805694,1694,2004,1686,636,2,1694,185216.8145154394,0.0,2004.0,2,2005,0.0,7,1.0,0,1.0,1.0,0.0,0.0,1,10084,214459.1079261725,0.0,1369,0.0,57,213758.9794073611,1.0,1.0,317,1.0,5,1.0,0.0,0.0,255,0.0,0.0,1.0,0.0,1.0,0.0,0,186.0,0.0,0.0,0.0,1.0
7,188940.34317285073,2090,1973,1107,484,2,1107,239751.77464930317,1.0,1973.0,2,1973,1.0,7,0.0,983,0.0,0.0,0.0,0.0,2,10382,167725.35766726418,1.0,859,0.0,204,163157.5084968204,1.0,1.0,216,0.0,6,0.0,0.0,0.0,235,1.0,0.0,0.0,0.0,1.0,0.0,1,240.0,0.0,0.0,0.0,0.0
7,128687.62627009608,1774,1931,952,468,2,1022,143562.47168821347,1.0,1931.0,2,1950,1.0,8,0.0,752,0.0,0.0,1.0,0.0,2,6120,161831.5485843834,0.0,0,1.0,0,194305.49793707748,0.0,0.0,952,0.0,5,0.0,0.0,1.0,90,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0
5,125784.83719984665,1077,1939,991,205,1,1077,131268.72241261136,1.0,1939.0,1,1950,1.0,5,0.0,0,0.0,0.0,1.0,0.0,2,7420,149947.9506734463,0.0,851,0.0,4,149564.74839271925,1.0,1.0,140,0.0,6,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
