Attribute,Category,Count,Median_Price
MSSubClass,20,536,159250.0
MSSubClass,60,299,215200.0
MSSubClass,50,144,132000.0
MSSubClass,120,87,192000.0
MSSubClass,30,69,99900.0
MSSubClass,160,63,146000.0
MSSubClass,70,60,156000.0
MSSubClass,80,58,166500.0
MSSubClass,90,52,135980.0
MSSubClass,190,30,128250.0
MSSubClass,85,20,140750.0
MSSubClass,75,16,163500.0
MSSubClass,45,12,107500.0
MSSubClass,180,10,88500.0
MSSubClass,40,4,142500.0
MSZoning,RL,1151,174000.0
MSZoning,RM,218,120500.0
MSZoning,FV,65,205950.0
MSZoning,RH,16,136500.0
MSZoning,C (all),10,74700.0
LotFrontage,60.0,143,124900.0
LotFrontage,70.0,70,139500.0
LotFrontage,80.0,69,163000.0
LotFrontage,50.0,57,119000.0
LotFrontage,75.0,53,167000.0
LotFrontage,65.0,44,174950.0
LotFrontage,85.0,40,191400.0
LotFrontage,78.0,25,180000.0
LotFrontage,21.0,23,91000.0
LotFrontage,90.0,23,179900.0
LotFrontage,64.0,19,194000.0
LotFrontage,24.0,19,147400.0
LotFrontage,68.0,19,173900.0
LotFrontage,73.0,18,178809.5
LotFrontage,63.0,17,177000.0
LotFrontage,79.0,17,207500.0
LotFrontage,55.0,17,132500.0
LotFrontage,72.0,17,180000.0
LotFrontage,100.0,16,166000.0
LotFrontage,74.0,15,155000.0
LotFrontage,51.0,15,132000.0
LotFrontage,66.0,15,155000.0
LotFrontage,52.0,14,111250.0
LotFrontage,59.0,13,190000.0
LotFrontage,43.0,12,188425.0
LotFrontage,67.0,12,127950.0
LotFrontage,71.0,12,141750.0
LotFrontage,82.0,12,172950.0
LotFrontage,40.0,12,134700.0
LotFrontage,57.0,12,142200.0
LotFrontage,76.0,11,185000.0
LotFrontage,69.0,11,150000.0
LotFrontage,34.0,10,178500.0
LotFrontage,53.0,10,173250.0
LotFrontage,88.0,10,223500.0
LotFrontage,92.0,10,212564.0
LotFrontage,86.0,10,271640.0
LotFrontage,62.0,9,183500.0
LotFrontage,77.0,9,170000.0
LotFrontage,35.0,9,148000.0
LotFrontage,84.0,9,243000.0
LotFrontage,44.0,9,224000.0
LotFrontage,93.0,8,270731.5
LotFrontage,61.0,8,175350.0
LotFrontage,98.0,8,279646.5
LotFrontage,96.0,8,336250.0
LotFrontage,95.0,7,220000.0
LotFrontage,58.0,7,173000.0
LotFrontage,107.0,7,372402.0
LotFrontage,120.0,7,128500.0
LotFrontage,41.0,6,204250.0
LotFrontage,30.0,6,151000.0
LotFrontage,54.0,6,142200.0
LotFrontage,36.0,6,143750.0
LotFrontage,81.0,6,188500.0
LotFrontage,48.0,6,228450.0
LotFrontage,110.0,6,326250.0
LotFrontage,89.0,6,250500.0
LotFrontage,91.0,6,253590.0
LotFrontage,105.0,6,183750.0
LotFrontage,94.0,6,168950.0
LotFrontage,47.0,5,207500.0
LotFrontage,37.0,5,142500.0
LotFrontage,87.0,5,176500.0
LotFrontage,56.0,5,115000.0
LotFrontage,83.0,5,224500.0
LotFrontage,32.0,5,162000.0
LotFrontage,102.0,4,183500.0
LotFrontage,42.0,4,243200.0
LotFrontage,49.0,4,204548.5
LotFrontage,99.0,3,180500.0
LotFrontage,45.0,3,67000.0
LotFrontage,104.0,3,485000.0
LotFrontage,130.0,3,175000.0
LotFrontage,108.0,3,325000.0
LotFrontage,103.0,3,238000.0
LotFrontage,115.0,2,152500.0
LotFrontage,101.0,2,245150.0
LotFrontage,114.0,2,282450.0
LotFrontage,313.0,2,201000.0
LotFrontage,122.0,2,206500.0
LotFrontage,121.0,2,214000.0
LotFrontage,174.0,2,319000.0
LotFrontage,134.0,2,234950.0
LotFrontage,97.0,2,331475.0
LotFrontage,118.0,2,415000.0
LotFrontage,109.0,2,204500.0
LotFrontage,124.0,2,218500.0
LotFrontage,129.0,2,258000.0
LotFrontage,116.0,2,240000.0
LotFrontage,112.0,1,145000.0
LotFrontage,33.0,1,113000.0
LotFrontage,140.0,1,141000.0
LotFrontage,141.0,1,215000.0
LotFrontage,106.0,1,230500.0
LotFrontage,137.0,1,190000.0
LotFrontage,38.0,1,245500.0
LotFrontage,111.0,1,342643.0
LotFrontage,150.0,1,375000.0
LotFrontage,144.0,1,223500.0
LotFrontage,128.0,1,149500.0
LotFrontage,39.0,1,236500.0
LotFrontage,149.0,1,174000.0
LotFrontage,168.0,1,274725.0
LotFrontage,138.0,1,200500.0
LotFrontage,182.0,1,259000.0
LotFrontage,160.0,1,745000.0
LotFrontage,152.0,1,164000.0
LotFrontage,153.0,1,52500.0
LotFrontage,46.0,1,215000.0
LotArea,7200,25,125500.0
LotArea,9600,24,140000.0
LotArea,6000,17,115000.0
LotArea,10800,14,159750.0
LotArea,8400,14,144500.0
LotArea,9000,14,137500.0
LotArea,1680,10,97250.0
LotArea,7500,9,176000.0
LotArea,6240,8,121250.0
LotArea,9100,8,128700.0
LotArea,8125,8,195250.0
LotArea,6120,8,130950.0
LotArea,3182,7,181000.0
LotArea,7800,6,124950.0
LotArea,8450,6,182000.0
LotArea,9750,5,157900.0
LotArea,10140,5,165000.0
LotArea,10000,5,160000.0
LotArea,5400,5,108480.0
LotArea,4500,5,162000.0
LotArea,4435,5,140000.0
LotArea,10400,5,174000.0
LotArea,5000,5,87000.0
LotArea,8544,4,93200.0
LotArea,8500,4,106800.0
LotArea,8800,4,144000.0
LotArea,11700,4,177450.0
LotArea,9900,4,157750.0
LotArea,9375,4,239250.0
